season,n,aesthetic_mean,lightness_mean,saturation_mean,distance_mean,diversity_mean
Spring,13278,4.935778731736708,138.11119975409582,12.12663124423767,12.76229842023935,25.60484607912197
Fall,13047,4.946878976009811,123.68507090207181,11.076842927233931,12.97281434505374,25.46395702745479
Resort,2039,4.806081412457087,157.81402521034127,10.953166526340373,11.1522327058763,25.497483531148585
Pre-Fall,1636,4.87320293398533,141.28852653456983,11.270143550679714,11.858158573480944,25.368906685146563
