decade,mean_lightness,mean_saturation,color_diversity,n_images
1980,125.72763393138602,23.452661492207323,27.809988547896506,3
1990,128.7373391879837,16.218179730337255,28.167088701058148,163
2000,132.66992196460703,12.131775296231048,25.343038100206027,1831
2010,133.26025334931225,11.0587455465247,25.586492905084043,6085
2020,132.2290110886729,12.284173662911696,25.397696814459447,1918
