season,mean_lightness,mean_saturation,color_diversity,n_images
Fall,123.607568072693,10.959689057899269,25.437571222321576,8733
Pre-Fall,138.71251461760846,11.402231376035976,25.353577999473494,1088
Resort,157.49703642822558,10.87936660838873,25.520907354015993,1368
Spring,138.08315216938453,12.216715684089364,25.64908413916961,8811
