term,coef,std_err,t_stat,p_value,ci_low,ci_high,n_obs,dof,q_value
z_year,0.28169031771221176,0.0053673475827680376,52.48222019691503,0.0,0.2711703164499864,0.2922103189744371,30000,29984,0.0
z_lightness,-0.14870949490943494,0.005914818727918298,-25.14185163570901,4.684766705097058e-138,-0.16030253961615482,-0.13711645020271507,30000,29984,3.7478133640776463e-137
z_distance,0.11381451546479189,0.006558812734944635,17.3529143252407,3.992964919321728e-67,0.10095924250430041,0.12666978842528337,30000,29984,2.1295812903049216e-66
section_Details,-0.7796823768691039,0.05090288748392326,-15.317055974778487,9.321991923408687e-53,-0.8794520363375935,-0.6799127174006143,30000,29984,3.7287967693634746e-52
section_Collection,-0.7606546062869075,0.05028508958743471,-15.126842022709265,1.6698331122383498e-51,-0.8592133818782796,-0.6620958306955355,30000,29984,5.3434659591627195e-51
category_Couture,0.5969758570710775,0.04038852857562677,14.780827084434415,2.9045004767387196e-49,0.5178143410628491,0.6761373730793059,30000,29984,7.745334604636585e-49
z_diversity,-0.07227207450071858,0.006244239984498899,-11.574198730370936,6.4792514290824045e-31,-0.08451078487033642,-0.06003336413110074,30000,29984,1.4809717552188353e-30
intercept,0.6536356536083877,0.05999904526565838,10.894100909677455,1.3852912179922358e-27,0.5360375248876973,0.7712337823290781,30000,29984,2.7705824359844717e-27
z_saturation,0.06231968869304767,0.005889126110522125,10.58216236560138,4.0091711389405026e-26,0.05077700151642431,0.07386237586967104,30000,29984,7.12741535811645e-26
category_Menswear,0.2689608065606677,0.0340746971884836,7.893270630489117,3.043513259172589e-15,0.20217440007123982,0.3357472130500955,30000,29984,4.869621214676142e-15
section_Beauty,-0.3714414379879571,0.05529324298652339,-6.717664183279835,1.8795961675674396e-11,-0.4798161942415429,-0.26306668173437125,30000,29984,2.7339580619162757e-11
season_Spring,0.041049715995075634,0.011341511765704037,3.619421893931918,0.0002957476647730955,0.018820352934295723,0.06327907905585554,30000,29984,0.0003943302196974607
section_Front Row,0.13634535322485575,0.07506218041302203,1.8164320896972255,0.06931409712196024,-0.01077652038466742,0.2834672268343789,30000,29984,0.08530965799625875
season_Resort,-0.05992404938614086,0.03788643105971853,-1.5816757532976784,0.11373415811198416,-0.13418145426318917,0.014333355490907446,30000,29984,0.12998189498512475
season_Pre-Fall,-0.052603984736326784,0.03861732487008273,-1.362186140891382,0.1731493810624033,-0.12829394148168893,0.023085972009035366,30000,29984,0.18469267313323018
category_Ready-to-Wear,-0.007161381881094381,0.03279856862602738,-0.21834434187507346,0.8271623139239821,-0.07144657638810806,0.05712381262591929,30000,29984,0.8271623139239821
