year,palette_id,palette_name,count,percentage
2000,001,Plum Mouse Gray,32,10.491803278688524
2000,002,Shrimp Brown,62,20.327868852459016
2000,003,Fukagawa Mouse Gray,4,1.3114754098360655
2000,004,Cherry Mouse Gray,27,8.852459016393443
2000,005,Indigo Mouse Gray,11,3.6065573770491803
2000,006,Willow Mouse Gray,1,0.32786885245901637
2000,007,Nightingale Brown,24,7.868852459016393
2000,008,Seaweed Brown,4,1.3114754098360655
2000,009,Navy Blue,4,1.3114754098360655
2000,010,Crimson,6,1.9672131147540983
2000,011,Nightingale Green,2,0.6557377049180327
2000,014,Azuki Bean Red,8,2.622950819672131
2000,017,Peony Pink,2,0.6557377049180327
2000,020,Peach,2,0.6557377049180327
2000,024,Crimson Red,2,0.6557377049180327
2000,025,Purple,1,0.32786885245901637
2000,026,Mouse Gray,6,1.9672131147540983
2000,027,Ink Black,77,25.24590163934426
2000,031,Burnt Sienna,27,8.852459016393443
2000,034,Coral,1,0.32786885245901637
2000,036,Lavender,1,0.32786885245901637
2000,038,Maroon,1,0.32786885245901637
2001,001,Plum Mouse Gray,17,5.29595015576324
2001,002,Shrimp Brown,66,20.560747663551403
2001,004,Cherry Mouse Gray,15,4.672897196261682
2001,005,Indigo Mouse Gray,5,1.557632398753894
2001,007,Nightingale Brown,8,2.4922118380062304
2001,009,Navy Blue,8,2.4922118380062304
2001,010,Crimson,16,4.984423676012461
2001,014,Azuki Bean Red,26,8.09968847352025
2001,016,Mustard,1,0.3115264797507788
2001,017,Peony Pink,5,1.557632398753894
2001,024,Crimson Red,3,0.9345794392523364
2001,025,Purple,2,0.6230529595015576
2001,026,Mouse Gray,2,0.6230529595015576
2001,027,Ink Black,101,31.46417445482866
2001,030,Cherry Blossom Pink,3,0.9345794392523364
2001,031,Burnt Sienna,36,11.214953271028037
2001,036,Lavender,1,0.3115264797507788
2001,038,Maroon,6,1.8691588785046729
2002,001,Plum Mouse Gray,43,9.492273730684326
2002,002,Shrimp Brown,66,14.56953642384106
2002,003,Fukagawa Mouse Gray,2,0.44150110375275936
2002,004,Cherry Mouse Gray,27,5.960264900662252
2002,005,Indigo Mouse Gray,16,3.532008830022075
2002,006,Willow Mouse Gray,2,0.44150110375275936
2002,007,Nightingale Brown,19,4.194260485651214
2002,008,Seaweed Brown,5,1.1037527593818985
2002,009,Navy Blue,14,3.0905077262693155
2002,010,Crimson,20,4.415011037527594
2002,011,Nightingale Green,2,0.44150110375275936
2002,014,Azuki Bean Red,21,4.635761589403973
2002,017,Peony Pink,1,0.22075055187637968
2002,020,Peach,1,0.22075055187637968
2002,025,Purple,4,0.8830022075055187
2002,026,Mouse Gray,17,3.752759381898455
2002,027,Ink Black,135,29.801324503311257
2002,031,Burnt Sienna,50,11.037527593818984
2002,034,Coral,2,0.44150110375275936
2002,038,Maroon,5,1.1037527593818985
2002,040,Gold,1,0.22075055187637968
2003,001,Plum Mouse Gray,92,21.647058823529413
2003,002,Shrimp Brown,21,4.9411764705882355
2003,003,Fukagawa Mouse Gray,4,0.9411764705882353
2003,004,Cherry Mouse Gray,22,5.176470588235294
2003,005,Indigo Mouse Gray,29,6.823529411764706
2003,006,Willow Mouse Gray,1,0.23529411764705882
2003,007,Nightingale Brown,32,7.529411764705882
2003,008,Seaweed Brown,4,0.9411764705882353
2003,009,Navy Blue,6,1.411764705882353
2003,010,Crimson,2,0.47058823529411764
2003,011,Nightingale Green,1,0.23529411764705882
2003,012,Siskin Brown,2,0.47058823529411764
2003,014,Azuki Bean Red,3,0.7058823529411765
2003,016,Mustard,1,0.23529411764705882
2003,024,Crimson Red,1,0.23529411764705882
2003,025,Purple,3,0.7058823529411765
2003,026,Mouse Gray,18,4.235294117647059
2003,027,Ink Black,148,34.8235294117647
2003,031,Burnt Sienna,29,6.823529411764706
2003,036,Lavender,1,0.23529411764705882
2003,037,Olive,2,0.47058823529411764
2003,038,Maroon,2,0.47058823529411764
2003,040,Gold,1,0.23529411764705882
