category,n,aesthetic_mean,lightness_mean,saturation_mean,distance_mean,diversity_mean
Ready-to-Wear,19507,4.880410621828061,132.2110577281999,11.82001661030674,12.916041924766564,25.643627641363754
Menswear,4692,5.0948124467178175,126.09793054931139,10.29057316053636,12.598985068712816,25.236038855857853
Couture,1435,5.267449477351916,128.11515887438463,14.007567903490234,13.356857030623038,25.214958925482485
Bridal,74,5.461216216216216,150.11520338047947,6.917698284678582,10.377651239749156,21.64412409091837
