year,palette_id,palette_name,count,percentage
2007,005,Indigo Mouse Gray,5,2.192982456140351
2007,007,Nightingale Brown,40,17.54385964912281
2007,008,Seaweed Brown,6,2.6315789473684212
2007,009,Navy Blue,1,0.43859649122807015
2007,010,Crimson,1,0.43859649122807015
2007,011,Nightingale Green,1,0.43859649122807015
2007,014,Azuki Bean Red,2,0.8771929824561403
2007,021,Dayflower Blue,1,0.43859649122807015
2007,025,Purple,1,0.43859649122807015
2007,026,Mouse Gray,43,18.859649122807017
2007,027,Ink Black,111,48.68421052631579
2008,001,Plum Mouse Gray,2,0.7874015748031497
2008,002,Shrimp Brown,3,1.1811023622047243
2008,004,Cherry Mouse Gray,2,0.7874015748031497
2008,005,Indigo Mouse Gray,5,1.968503937007874
2008,006,Willow Mouse Gray,1,0.3937007874015748
2008,007,Nightingale Brown,36,14.173228346456693
2008,008,Seaweed Brown,10,3.937007874015748
2008,014,Azuki Bean Red,16,6.299212598425197
2008,016,Mustard,1,0.3937007874015748
2008,021,Dayflower Blue,2,0.7874015748031497
2008,025,Purple,1,0.3937007874015748
2008,026,Mouse Gray,53,20.866141732283463
2008,027,Ink Black,122,48.031496062992126
2009,001,Plum Mouse Gray,20,6.514657980456026
2009,002,Shrimp Brown,13,4.234527687296417
2009,003,Fukagawa Mouse Gray,1,0.3257328990228013
2009,004,Cherry Mouse Gray,1,0.3257328990228013
2009,005,Indigo Mouse Gray,10,3.257328990228013
2009,007,Nightingale Brown,41,13.355048859934854
2009,008,Seaweed Brown,4,1.3029315960912051
2009,009,Navy Blue,2,0.6514657980456026
2009,010,Crimson,1,0.3257328990228013
2009,011,Nightingale Green,1,0.3257328990228013
2009,014,Azuki Bean Red,25,8.143322475570033
2009,016,Mustard,1,0.3257328990228013
2009,017,Peony Pink,1,0.3257328990228013
2009,026,Mouse Gray,56,18.241042345276874
2009,027,Ink Black,130,42.34527687296417
2010,001,Plum Mouse Gray,33,7.819905213270142
2010,002,Shrimp Brown,16,3.7914691943127963
2010,004,Cherry Mouse Gray,6,1.4218009478672986
2010,005,Indigo Mouse Gray,6,1.4218009478672986
2010,007,Nightingale Brown,47,11.137440758293838
2010,008,Seaweed Brown,5,1.1848341232227488
2010,011,Nightingale Green,1,0.23696682464454977
2010,014,Azuki Bean Red,31,7.345971563981043
2010,016,Mustard,1,0.23696682464454977
2010,019,Yamabuki Yellow,1,0.23696682464454977
2010,021,Dayflower Blue,3,0.7109004739336493
2010,025,Purple,1,0.23696682464454977
2010,026,Mouse Gray,78,18.48341232227488
2010,027,Ink Black,193,45.7345971563981
2011,001,Plum Mouse Gray,23,5.010893246187364
2011,002,Shrimp Brown,29,6.318082788671024
2011,003,Fukagawa Mouse Gray,1,0.2178649237472767
2011,004,Cherry Mouse Gray,4,0.8714596949891068
2011,005,Indigo Mouse Gray,8,1.7429193899782136
2011,007,Nightingale Brown,66,14.379084967320262
2011,008,Seaweed Brown,8,1.7429193899782136
2011,009,Navy Blue,4,0.8714596949891068
2011,010,Crimson,1,0.2178649237472767
2011,011,Nightingale Green,1,0.2178649237472767
2011,014,Azuki Bean Red,33,7.189542483660131
2011,021,Dayflower Blue,3,0.6535947712418301
2011,026,Mouse Gray,63,13.72549019607843
2011,027,Ink Black,215,46.84095860566449
2012,001,Plum Mouse Gray,29,5.430711610486892
2012,002,Shrimp Brown,32,5.992509363295881
2012,003,Fukagawa Mouse Gray,1,0.18726591760299627
2012,004,Cherry Mouse Gray,4,0.7490636704119851
2012,005,Indigo Mouse Gray,16,2.9962546816479403
2012,007,Nightingale Brown,71,13.295880149812733
2012,008,Seaweed Brown,5,0.9363295880149812
2012,009,Navy Blue,4,0.7490636704119851
2012,010,Crimson,2,0.37453183520599254
2012,011,Nightingale Green,1,0.18726591760299627
2012,014,Azuki Bean Red,40,7.49063670411985
2012,021,Dayflower Blue,2,0.37453183520599254
2012,024,Crimson Red,1,0.18726591760299627
2012,025,Purple,1,0.18726591760299627
2012,026,Mouse Gray,92,17.228464419475657
2012,027,Ink Black,233,43.63295880149813
2013,001,Plum Mouse Gray,35,5.972696245733788
2013,002,Shrimp Brown,27,4.607508532423208
2013,003,Fukagawa Mouse Gray,2,0.3412969283276451
2013,004,Cherry Mouse Gray,3,0.5119453924914675
2013,005,Indigo Mouse Gray,6,1.023890784982935
2013,007,Nightingale Brown,56,9.556313993174061
2013,008,Seaweed Brown,8,1.3651877133105803
2013,009,Navy Blue,9,1.5358361774744027
2013,010,Crimson,2,0.3412969283276451
2013,014,Azuki Bean Red,36,6.143344709897611
2013,016,Mustard,1,0.17064846416382254
2013,020,Peach,2,0.3412969283276451
2013,021,Dayflower Blue,1,0.17064846416382254
2013,026,Mouse Gray,109,18.600682593856654
2013,027,Ink Black,287,48.97610921501707
2013,030,Cherry Blossom Pink,2,0.3412969283276451
2014,001,Plum Mouse Gray,27,4.433497536945813
2014,002,Shrimp Brown,30,4.926108374384237
2014,003,Fukagawa Mouse Gray,1,0.16420361247947454
2014,004,Cherry Mouse Gray,2,0.3284072249589491
2014,005,Indigo Mouse Gray,15,2.4630541871921183
2014,006,Willow Mouse Gray,1,0.16420361247947454
2014,007,Nightingale Brown,66,10.83743842364532
2014,008,Seaweed Brown,10,1.6420361247947455
2014,009,Navy Blue,4,0.6568144499178982
2014,010,Crimson,1,0.16420361247947454
2014,011,Nightingale Green,1,0.16420361247947454
2014,013,Celadon,1,0.16420361247947454
2014,014,Azuki Bean Red,53,8.70279146141215
2014,018,Blue-Green,1,0.16420361247947454
2014,025,Purple,1,0.16420361247947454
2014,026,Mouse Gray,118,19.376026272577995
2014,027,Ink Black,276,45.320197044334975
2014,030,Cherry Blossom Pink,1,0.16420361247947454
2015,001,Plum Mouse Gray,31,4.409672830725462
2015,002,Shrimp Brown,40,5.689900426742532
2015,003,Fukagawa Mouse Gray,4,0.5689900426742532
2015,004,Cherry Mouse Gray,5,0.7112375533428165
2015,005,Indigo Mouse Gray,9,1.2802275960170697
2015,007,Nightingale Brown,69,9.815078236130867
2015,008,Seaweed Brown,8,1.1379800853485065
2015,009,Navy Blue,6,0.8534850640113798
2015,010,Crimson,3,0.4267425320056899
2015,014,Azuki Bean Red,52,7.396870554765291
2015,016,Mustard,1,0.1422475106685633
2015,019,Yamabuki Yellow,1,0.1422475106685633
2015,021,Dayflower Blue,3,0.4267425320056899
2015,025,Purple,2,0.2844950213371266
2015,026,Mouse Gray,111,15.789473684210526
2015,027,Ink Black,357,50.782361308677096
2015,028,Pale Blue-Green,1,0.1422475106685633
2016,001,Plum Mouse Gray,41,3.7511436413540715
2016,002,Shrimp Brown,40,3.659652333028362
2016,003,Fukagawa Mouse Gray,4,0.36596523330283626
2016,004,Cherry Mouse Gray,9,0.8234217749313815
2016,005,Indigo Mouse Gray,30,2.7447392497712717
2016,007,Nightingale Brown,120,10.978956999085087
2016,008,Seaweed Brown,14,1.280878316559927
2016,009,Navy Blue,7,0.6404391582799634
2016,010,Crimson,1,0.09149130832570906
2016,011,Nightingale Green,3,0.2744739249771272
2016,014,Azuki Bean Red,68,6.221408966148216
2016,016,Mustard,3,0.2744739249771272
2016,017,Peony Pink,1,0.09149130832570906
2016,021,Dayflower Blue,8,0.7319304666056725
2016,025,Purple,5,0.45745654162854527
2016,026,Mouse Gray,211,19.30466605672461
2016,027,Ink Black,527,48.21591948764868
2016,028,Pale Blue-Green,1,0.09149130832570906
2017,001,Plum Mouse Gray,35,4.888268156424581
2017,002,Shrimp Brown,31,4.329608938547486
2017,004,Cherry Mouse Gray,7,0.9776536312849162
2017,005,Indigo Mouse Gray,19,2.653631284916201
2017,006,Willow Mouse Gray,1,0.13966480446927373
2017,007,Nightingale Brown,74,10.335195530726256
2017,008,Seaweed Brown,7,0.9776536312849162
2017,009,Navy Blue,2,0.27932960893854747
2017,010,Crimson,1,0.13966480446927373
2017,011,Nightingale Green,2,0.27932960893854747
2017,014,Azuki Bean Red,30,4.189944134078212
2017,020,Peach,1,0.13966480446927373
2017,021,Dayflower Blue,3,0.41899441340782123
2017,025,Purple,7,0.9776536312849162
2017,026,Mouse Gray,123,17.178770949720672
2017,027,Ink Black,373,52.09497206703911
2018,001,Plum Mouse Gray,9,3.4482758620689653
2018,002,Shrimp Brown,7,2.681992337164751
2018,004,Cherry Mouse Gray,2,0.7662835249042146
2018,005,Indigo Mouse Gray,4,1.5325670498084292
2018,007,Nightingale Brown,21,8.045977011494253
2018,008,Seaweed Brown,8,3.0651340996168583
2018,009,Navy Blue,6,2.2988505747126435
2018,011,Nightingale Green,1,0.3831417624521073
2018,014,Azuki Bean Red,26,9.96168582375479
2018,021,Dayflower Blue,1,0.3831417624521073
2018,025,Purple,2,0.7662835249042146
2018,026,Mouse Gray,30,11.494252873563218
2018,027,Ink Black,144,55.172413793103445
2019,001,Plum Mouse Gray,43,6.1253561253561255
2019,002,Shrimp Brown,32,4.5584045584045585
2019,003,Fukagawa Mouse Gray,2,0.2849002849002849
2019,004,Cherry Mouse Gray,2,0.2849002849002849
2019,005,Indigo Mouse Gray,26,3.7037037037037037
2019,006,Willow Mouse Gray,1,0.14245014245014245
2019,007,Nightingale Brown,81,11.538461538461538
2019,008,Seaweed Brown,13,1.8518518518518519
