key,designer,year,season,category,image_path,palette_id,palette_name,palette_distance,mean_lightness,mean_a,mean_b,mean_saturation,color_diversity
308794,Fay,2015,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0308794_Fay - Spring 2015 Ready-to-Wear [Collection].jpg,027,Ink Black,7.654483000451477,145.8783675198051,125.67545832499523,127.97048619338646,6.434317445932648,23.102143731807516
659286,Bottega Veneta,2010,Spring,Menswear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0659286_Bottega Veneta - Spring 2010 Menswear [Details].jpg,007,Nightingale Brown,9.803389794311695,119.66740543693211,129.62819668249688,141.52635121127412,13.696651866918597,21.84773355428625
654405,Max Mara,2017,Resort,,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0654405_Max Mara - Resort 2017 [Collection].jpg,026,Mouse Gray,7.619967945459244,182.0608271634755,129.92859278570583,125.85274687144548,3.472171284889862,27.967708978200204
1244204,Junya Watanabe,2006,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1244204_Junya Watanabe - Spring 2006 Ready-to-Wear [Details].jpg,027,Ink Black,11.797630344054388,95.45048674662299,133.32295616942895,131.4258576416768,6.496001809271425,26.236640978572353
650262,Comme des Garçons,1996,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0650262_Comme des Garçons - Fall 1996 Ready-to-Wear [Collection].jpg,002,Shrimp Brown,11.993890376384128,127.95278483729027,151.0871328463462,149.06243176717624,34.127805837173305,31.50597344021733
307716,Alexander McQueen,2019,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0307716_Alexander McQueen - Fall 2019 Ready-to-Wear [Details].jpg,027,Ink Black,6.362868599191247,112.51910526641606,130.48967223686017,128.21359764703632,6.08347294682477,22.981078660383233
1248471,Chloé,2016,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1248471_Chloé - Spring 2016 Ready-to-Wear [Details].jpg,027,Ink Black,11.989047854302289,126.2609314732661,135.21799943926055,134.19892279816995,11.335077741090103,23.611949083225383
306391,6267,2006,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0306391_6267 - Fall 2006 Ready-to-Wear [Collection].jpg,008,Seaweed Brown,7.760178398030408,156.94059528666253,126.37106000474307,133.7569789791575,6.138144882783572,21.024108800305168
1245072,Fendi,2007,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1245072_Fendi - Spring 2007 Ready-to-Wear [Collection].jpg,007,Nightingale Brown,11.540051536620428,150.0771422400655,129.24191794412047,132.86495631303828,10.231771149369406,27.981382325452397
1244879,Schiaparelli,2014,Fall,Couture,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1244879_Schiaparelli - Fall 2014 Couture [Collection].jpg,014,Azuki Bean Red,17.17391100243362,127.8600208673506,150.72527344080666,134.89884201851675,33.113475212115894,30.083006744116236
309335,Reed Krakoff,2014,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0309335_Reed Krakoff - Spring 2014 Ready-to-Wear [Collection].jpg,026,Mouse Gray,5.303821306784222,178.55789117312642,129.1092181240145,131.57002105299105,3.82947015533792,21.3427745529318
1245270,Valentin Yudashkin,2016,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1245270_Valentin Yudashkin - Fall 2016 Ready-to-Wear [Collection].jpg,027,Ink Black,10.24874304763278,141.0031194085093,128.64449988193223,124.57888785048267,3.8554310286978803,25.116132810180034
652467,Christian Siriano,2010,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0652467_Christian Siriano - Fall 2010 Ready-to-Wear [Collection].jpg,021,Dayflower Blue,11.265289011978751,129.49727966010735,140.989493525535,89.5059759324905,41.77666696306458,32.04960555298627
1249078,Maison Margiela,2013,Fall,Couture,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1249078_Maison Margiela - Fall 2013 Couture [Collection].jpg,001,Plum Mouse Gray,10.059811581295829,152.36765091155968,134.97844982225362,130.1381535935381,9.144343982849016,27.600574005514435
309748,Chaiken,2007,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0309748_Chaiken - Spring 2007 Ready-to-Wear [Collection].jpg,001,Plum Mouse Gray,8.840751629708839,188.25146026511018,135.0876807242256,127.5230722080409,9.983924825078226,28.481006063214704
656854,Prada,2014,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0656854_Prada - Spring 2014 Ready-to-Wear [Collection].jpg,027,Ink Black,15.255818853618514,73.08137481498508,142.67180565309692,144.75468769648995,23.340709192688387,29.859126935099425
1248411,Celine,2016,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1248411_Celine - Fall 2016 Ready-to-Wear [Collection].jpg,027,Ink Black,11.793489049840378,114.85362795555979,126.00672367572069,132.32880700582055,10.834146033757689,24.048994556286726
301345,Dondup,2017,Fall,Menswear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0301345_Dondup - Fall 2017 Menswear [Collection].jpg,004,Cherry Mouse Gray,8.024550289632783,212.84658791018515,132.44811052233888,138.82084257652605,11.945462720468889,26.56035947352142
1243869,Tory Burch,2015,Pre-Fall,,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1243869_Tory Burch - Pre-Fall 2015 [Collection].jpg,027,Ink Black,9.160424758343972,131.89283970470046,130.76026360784692,134.49488531878742,7.679726109675593,22.837652765381275
309038,Bottega Veneta,2012,Spring,Menswear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0309038_Bottega Veneta - Spring 2012 Menswear [Details].jpg,027,Ink Black,11.272630553647838,90.45499320219668,134.64735679925553,123.34070262226513,9.538397916093377,25.14012758878852
1249236,DKNY,2002,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1249236_DKNY - Fall 2002 Ready-to-Wear [Details].jpg,014,Azuki Bean Red,12.898594075609177,108.28406739465146,137.71825372159952,131.39225658283019,11.17179139066788,25.16327037054066
1249153,Ralph Lauren,2016,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1249153_Ralph Lauren - Fall 2016 Ready-to-Wear [Collection].jpg,026,Mouse Gray,5.631294714061404,183.77435669686793,127.97052543953338,132.2533588541359,4.3367587960814475,21.968415024852337
654192,Michael Kors Collection,2008,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0654192_Michael Kors Collection - Spring 2008 Ready-to-Wear [Details].jpg,007,Nightingale Brown,8.863256044863396,131.25626286576494,135.02092840817824,147.95355441455905,21.236729961586313,23.920997503647666
308995,Chanel,2006,Fall,Couture,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0308995_Chanel - Fall 2006 Couture [Details].jpg,007,Nightingale Brown,13.42083531114479,117.87395923447203,134.95950746856462,146.89776594097174,20.34531618216163,27.993011056538236
652519,Emilio de la Morena,2014,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0652519_Emilio de la Morena - Fall 2014 Ready-to-Wear [Collection].jpg,027,Ink Black,6.063639185433458,155.3344682523262,130.77397445439513,129.52888302949933,3.3491335558419784,20.955408952735343
654769,Fendi,2011,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0654769_Fendi - Spring 2011 Ready-to-Wear [Beauty].jpg,014,Azuki Bean Red,12.328239024618846,127.71479464833803,140.72857130073632,147.13783697001017,23.136802853875867,23.876128202949122
301251,Rachel Zoe,2013,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0301251_Rachel Zoe - Spring 2013 Ready-to-Wear [Collection].jpg,026,Mouse Gray,8.164601207537345,185.78469129371712,128.54323222489126,133.64878964148426,6.259623937211425,24.47776073087832
650415,Walter Van Beirendonck,2020,Fall,Menswear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0650415_Walter Van Beirendonck - Fall 2020 Menswear [Collection].jpg,027,Ink Black,11.18232112030077,140.5518798752722,126.86963841387339,136.2608034006406,13.120843204702346,24.579242803902527
302130,Kate Spade New York,2015,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0302130_Kate Spade New York - Fall 2015 Ready-to-Wear [Collection].jpg,002,Shrimp Brown,12.552405306659795,132.96462556498602,143.36557125341093,141.8360489972182,23.553879771678147,30.671182054426353
305335,Anne Valérie Hash,2010,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0305335_Anne Valérie Hash - Spring 2010 Ready-to-Wear [Collection].jpg,007,Nightingale Brown,13.162350962744455,162.3239752775303,128.92684768725795,143.84654532596753,18.059242369492555,27.584070869700735
1242581,Antonio Berardi,2016,Pre-Fall,,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1242581_Antonio Berardi - Pre-Fall 2016 [Collection].jpg,027,Ink Black,9.073692408483849,70.55211626519822,133.39284761673193,126.62529280481697,6.440427160693201,26.000173005122658
1241943,Elie Tahari,2012,Spring,Menswear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1241943_Elie Tahari - Spring 2012 Menswear [Collection].jpg,007,Nightingale Brown,8.336965027122439,170.5301263602021,134.2531958361194,140.7278004394948,14.347407286935004,23.37707470369908
656310,Dolce & Gabbana,2013,Spring,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0656310_Dolce & Gabbana - Spring 2013 Ready-to-Wear [Beauty].jpg,027,Ink Black,13.129925082968398,91.36620799171557,137.747295597391,142.5455868676376,17.986940446975474,32.44494896730691
1246983,Alexander McQueen,2004,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_124/1246983_Alexander McQueen - Fall 2004 Ready-to-Wear [Details].jpg,014,Azuki Bean Red,9.585117334405023,119.58282659353314,143.85471311880156,143.27387665555898,22.21147884962157,26.392901935489576
303924,Carolina Herrera,2003,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0303924_Carolina Herrera - Fall 2003 Ready-to-Wear [Collection].jpg,007,Nightingale Brown,12.291483883321778,91.26160040243495,128.71531790897936,141.27486819870117,13.364080343078033,23.926186029193047
301655,Halston Heritage,2016,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_030/0301655_Halston Heritage - Fall 2016 Ready-to-Wear [Collection].jpg,027,Ink Black,9.444783551169891,116.49349588505937,132.21132865643824,133.0552958637361,6.9880017384322555,22.31091046854073
653576,D&G,2004,Fall,Ready-to-Wear,/Users/richienodollar/Desktop/stats master/ws25/css/project_css/vogue_runway_065/0653576_D&G - Fall 2004 Ready-to-Wear [Details].jpg,014,Azuki Bean Red,9.722342791718317,136.50538973121596,147.54683833191274,129.18194408813864,20.814920323273608,24.66254994349315
