year,mean_lightness,mean_saturation,color_diversity,palette_distance,n_images
1988,113.83336689583223,19.911546933947562,30.828655625550073,20.151893870782665,1
1989,129.0771125297115,16.09443880313908,27.501300768535906,15.417197334620267,7
1990,97.29006134782817,6.503446771484221,24.747273848407843,14.189573584325132,1
1991,114.70475175618597,16.70150429625108,28.907299987277735,15.625512965425362,19
1992,145.49359294002116,15.538835064429557,27.9140067430144,14.102186748427593,72
1993,113.63078485100924,16.834760126061163,30.227779348906832,17.11570776561076,7
1994,134.68545996237896,17.49990187679212,29.207307861641485,15.77390792582668,47
1995,127.80893170939228,17.186977461082233,27.77009137579497,14.791934818521419,77
1996,136.50495622171357,17.229193097623813,28.636891733474926,15.408182624988862,61
1997,129.0775243009788,14.568503933989964,28.273357634315847,15.137647778054538,87
1998,124.55537795329295,11.942043240414707,26.584977422814628,14.61799862402813,63
1999,130.38313947964346,11.59324845448446,27.212720436438033,14.79148823109805,62
2000,129.7933671203881,13.510192400784637,24.583408405748756,13.33431134018959,305
2001,115.3300369281405,16.940130913624085,25.15686757237929,14.035759440701725,321
2002,119.82522713610275,15.580524135553,25.08200361531092,13.968884739651264,453
2003,124.050341276001,13.09108079856123,25.90168312403225,13.683883248542678,425
2004,131.03612439539194,11.296363036132222,25.477708920034534,13.037741659073749,392
2005,133.00892924467973,13.004645607503674,25.51307548108153,13.309025051795786,594
2006,134.67595507423368,10.501112619180935,25.406215870096837,12.95767586142227,612
2007,134.35095253647805,10.269635378158519,25.162690901475287,12.551603139896358,681
2008,138.41449222658719,10.619963964880805,25.126100607180053,12.394729644170733,813
2009,139.2925522097821,11.186779266337325,25.37986276163963,12.435650221220692,992
2010,138.7020681869536,10.536071253007899,25.157943033659556,12.558889378513266,1265
2011,135.11496343189017,11.575670798814034,25.33293442528694,12.490884640361385,1316
2012,136.42799787547992,11.790506710286973,25.9052862794127,12.569077378952572,1615
2013,133.14183878414448,10.66363041084704,25.581555993813136,12.448098920123725,1721
2014,134.76038740813678,10.188299108133275,25.530402884692247,12.313803612530563,1756
2015,130.3098363147742,10.67662135921755,25.387510522764543,12.513576784180833,2040
2016,134.3721456685638,10.82186750104964,25.58406864363338,12.576286732463664,3347
2017,132.64510173978297,10.644529379507436,25.487013195923392,12.61562376691962,2140
2018,125.78014386655008,12.268128220145424,26.105475434852906,13.25870909076004,843
2019,133.23398801572822,12.338680051847227,25.909056244916233,12.808311483625873,2109
2020,132.82013029937542,12.140376860768615,25.546919416294045,12.914802259968887,1974
2021,139.93714416757328,12.199989584222028,25.359140441323635,12.165977545261555,1097
2022,132.79550990531285,12.792048498678625,25.49365364162485,12.551205949059252,1435
2023,130.85069050703513,11.599503845323204,24.74279338085776,12.281438095540437,1250
