decade1,decade2,transition,color_distance
1980,1990,1980s → 1990s,5.356055341906093
1990,2000,1990s → 2000s,4.444697506935942
2000,2010,2000s → 2010s,0.9939620087727222
2010,2020,2010s → 2020s,0.6047366518351545
